Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2023-07-10,Hereditary,2018,https://boxd.it/4uBe85,3.5,Yes,,2023-07-07
2023-07-12,Howl's Moving Castle,2004,https://boxd.it/4viuEH,4.5,Yes,,2023-07-11
2023-07-14,Big Mood,2020,https://boxd.it/4vNIJN,4,,vegaoslo,2023-07-13
2023-07-14,Mission: Impossible,1996,https://boxd.it/4vQzCJ,4.5,Yes,,2023-07-13
2023-07-14,Mission: Impossible II,2000,https://boxd.it/4vRmuT,3.5,Yes,,2023-07-13
2023-07-15,Natural Glasses,2001,https://boxd.it/4w2Khh,,,,2023-07-14
2023-07-17,Nope,2022,https://boxd.it/4wN5N1,2,,,2023-07-16
2023-07-17,Spider-Man: No Way Home,2021,https://boxd.it/4wOl0B,2.5,Yes,,2023-07-16
2023-07-18,Pulp Fiction,1994,https://boxd.it/4x7M8F,5,Yes,,2023-07-17
2023-07-20,Ghost Rider,2007,https://boxd.it/4xMnNv,2,Yes,,2023-07-19
2023-07-27,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/4AGvlz,3.5,,,2023-07-26
2023-07-29,The Girl with the Dragon Tattoo,2009,https://boxd.it/4ButAd,3.5,Yes,,2023-07-28
2023-08-01,Redline,2009,https://boxd.it/4CF0DN,,,,2023-07-31
2023-08-02,The Killing of a Sacred Deer,2017,https://boxd.it/4CXFvV,4,,,2023-08-01
2023-08-06,Elling,2001,https://boxd.it/4Eh4Qr,5,Yes,,2023-08-05
2023-08-07,Dreams,1990,https://boxd.it/4EEgcp,,,,2023-08-06
2023-08-08,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/4F1Dir,3.5,,,2023-08-07
2023-08-08,Brother Bear,2003,https://boxd.it/4F35Jd,4.5,Yes,,2023-08-07
2023-08-11,Oppenheimer,2023,https://boxd.it/4G1aPZ,4,,"imax, odeonoslo",2023-08-10
2023-08-12,Dark City,1998,https://boxd.it/4Gi99n,4,,,2023-08-11
2023-08-14,What We Do in the Shadows,2014,https://boxd.it/4GVajh,4,Yes,,2023-08-13
2023-08-14,Heart of Stone,2023,https://boxd.it/4GZ17T,1,,,2023-08-13
2023-08-15,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/4HiUPJ,4.5,,,2023-08-14
2023-08-16,Three Colours: Blue,1993,https://boxd.it/4HAaiv,3.5,,,2023-08-15
2023-08-16,Operation Fortune: Ruse de Guerre,2023,https://boxd.it/4HDmQP,2,,,2023-08-15
2023-08-21,Idiocracy,2006,https://boxd.it/4J7G5N,2.5,,,2023-08-20
2023-08-21,Avatar: The Way of Water,2022,https://boxd.it/4JbaMX,4,,,2023-08-20
2023-08-22,The Addiction,1995,https://boxd.it/4JLhr5,3.5,,,2023-08-22
2023-08-23,Dungeons & Dragons: Honor Among Thieves,2023,https://boxd.it/4JRpd3,4,,,2023-08-22
2023-08-24,Dune,1984,https://boxd.it/4K7xVz,,,,2023-08-23
2023-08-26,The Flash,2023,https://boxd.it/4KGQ6v,2,,,2023-08-25
2023-08-27,Spider-Man 2,2004,https://boxd.it/4L8dff,5,,,2023-08-27
2023-08-30,Solen etter Passasjen,2023,https://boxd.it/4M0pKd,4,,"vegaoslo, pix",2023-08-29
2023-08-30,Cease,2023,https://boxd.it/4M0rS9,,,"pix, vegaoslo",2023-08-29
2023-08-30,Tits,2023,https://boxd.it/4M0sfx,4.5,,"vegaoslo, pix",2023-08-29
2023-08-31,What Creeps Out at Night,2023,https://boxd.it/4MbsIV,4.5,,"pix, vegaoslo",2023-08-29
2023-08-31,Lykkejeger,2023,https://boxd.it/4MpTmv,,,"pix, vegaoslo",2023-08-29
2023-08-31,Tuulikki,2022,https://boxd.it/4Mevi3,,,,2023-08-30
2023-08-31,Are You OK,2021,https://boxd.it/4MeC77,,,,2023-08-30
2023-08-31,Anima,2019,https://boxd.it/4Mgfx1,,,,2023-08-30
2023-09-01,"Oslo, August 31st",2011,https://boxd.it/4MuYy7,5,Yes,,2023-08-31
2023-09-03,Puss in Boots: The Last Wish,2022,https://boxd.it/4Nksbz,4,,,2023-09-03
2023-09-04,John Wick: Chapter 4,2023,https://boxd.it/4NqNzf,3,,,2023-09-03
2023-09-07,Indiana Jones and the Dial of Destiny,2023,https://boxd.it/4OkwiD,2.5,,,2023-09-06
2023-09-12,Kubrick by Kubrick,2020,https://boxd.it/4PMpc9,3,,,2023-09-11
2023-09-12,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/4POmUh,4.5,,,2023-09-11
2023-09-14,The Godfather Part II,1974,https://boxd.it/4QkGA1,5,,bluray,2023-09-13
2023-09-15,Brothers,2013,https://boxd.it/4QwrK5,,,,2023-09-14
2023-09-15,The Love Witch,2016,https://boxd.it/4Qz3Nv,4,,,2023-09-14
2023-09-26,Himiko,1974,https://boxd.it/4TJsOP,4,,,2023-09-25
2023-09-29,The Wonderful Story of Henry Sugar,2023,https://boxd.it/4UyDMH,,,,2023-09-28
2023-09-30,The Rat Catcher,2023,https://boxd.it/4UNaL1,,,,2023-09-29
2023-09-30,The Swan,2023,https://boxd.it/4UQfEZ,,,,2023-09-29
2023-10-02,Poison,2023,https://boxd.it/4VpWlL,,,,2023-10-01
2023-10-03,Watcher,2022,https://boxd.it/4VTOgD,2.5,,,2023-10-02
2023-10-04,La Jetée,1962,https://boxd.it/4WglXJ,,,,2023-10-03
2023-10-07,Meg 2: The Trench,2023,https://boxd.it/4X9vpR,1,,,2023-10-06
2023-10-11,The Shining,1980,https://boxd.it/4Yy6It,4.5,Yes,,2023-10-10
2023-10-12,Batman Begins,2005,https://boxd.it/4YUenR,3.5,Yes,bluray,2023-10-11
2023-10-13,The Dark Knight,2008,https://boxd.it/4ZaNN3,3.5,Yes,bluray,2023-10-12
2023-10-15,The Dark Knight Rises,2012,https://boxd.it/4ZND2z,3,Yes,bluray,2023-10-14
