Date,Name,Year,Letterboxd URI
2022-12-02,Hansel and Gretel,2007,https://boxd.it/jaIY
2022-12-02,The Lighthouse: A Dark & Stormy Tale,2020,https://boxd.it/p7bE
2022-12-02,Willow,1988,https://boxd.it/29t0
2022-12-02,"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles",1975,https://boxd.it/T18
2022-12-02,Beau Travail,1999,https://boxd.it/1NI8
2022-12-03,"Monsters, Inc.",2001,https://boxd.it/2a46
2022-12-04,Brick,2005,https://boxd.it/1Z6A
2022-12-04,The Rock,1996,https://boxd.it/1XM0
2022-12-04,Homesick,2015,https://boxd.it/9SF0
2022-12-06,Let the Right One In,2008,https://boxd.it/1Qr0
2022-12-06,Four Shades of Brown,2004,https://boxd.it/1w4q
2022-12-06,Titane,2021,https://boxd.it/nlQC
2022-12-06,What Do We See When We Look at the Sky?,2021,https://boxd.it/tWcQ
2022-12-06,Revolutionary Girl Utena,1997,https://boxd.it/psn2
2022-12-06,Neon Genesis Evangelion: The End of Evangelion,1997,https://boxd.it/1GRM
2022-12-08,Anchorman: The Legend of Ron Burgundy,2004,https://boxd.it/1ZVo
2022-12-08,"Bitter, Sweet, Seoul",2014,https://boxd.it/86Io
2022-12-08,Life Is But a Dream,2022,https://boxd.it/yWOq
2022-12-08,I Am Heath Ledger,2017,https://boxd.it/g4Ii
2022-12-08,Ned Kelly,2003,https://boxd.it/1W00
2022-12-08,Brokeback Mountain,2005,https://boxd.it/2b2q
2022-12-08,Vice,2018,https://boxd.it/fcFY
2022-12-08,White Man,1994,https://boxd.it/n53E
2022-12-08,Influenza,2004,https://boxd.it/3Vvq
2022-12-08,Incoherence,1994,https://boxd.it/2fSK
2022-12-08,Mickey 17,2025,https://boxd.it/q1Dk
2022-12-08,Filmworker,2017,https://boxd.it/gmoq
2022-12-08,Only God Forgives,2013,https://boxd.it/2HBs
2022-12-08,Pusher,1996,https://boxd.it/27wG
2022-12-10,Scandal,1950,https://boxd.it/1gG4
2022-12-10,"I'm a Cyborg, but That's OK",2006,https://boxd.it/2328
2022-12-11,The Man Who Wanted to See It All,2021,https://boxd.it/wMS4
2022-12-11,Raiders of Atlantis,1983,https://boxd.it/1o30
2022-12-11,Rex: A Dinosaur's Story,1993,https://boxd.it/ndPc
